red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_KD,blue_fighter_KD,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_TD,blue_fighter_TD,red_fighter_TD_pct,blue_fighter_TD_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts
DANIEL SARAFIAN,ANTONIO DOS SANTOS,20/12/2014,-,Junior Alpha,W,L,KO/TKO,2,1:01,3 Rnd (5-5-5),Eduardo Herdy,to Finger Injury,Middleweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,1,24 of 46,37 of 73,52,50,24 of 46,39 of 75,0 of 2,0 of 0,0,---,0,0,0,0,0:20,1:17,11 of 33,23 of 56,5 of 5,5 of 8,8 of 8,9 of 9,24 of 46,32 of 64,0 of 0,3 of 4,0 of 0,2 of 5,45,62,20,13,33,24,100,86,0,8,0,5,,
MARCOS ROGERIO DE LIMA,IGOR POKRAJAC,20/12/2014,Pezao,The Duke,W,L,KO/TKO,1,1:59,3 Rnd (5-5-5),Fernando Yamasaki,Punches to Head At Distance,Light Heavyweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",1,0,18 of 21,3 of 6,85,50,33 of 37,4 of 7,0 of 0,0 of 0,---,---,0,0,0,0,1:38,0:00,9 of 12,3 of 6,2 of 2,0 of 0,7 of 7,0 of 0,8 of 10,3 of 6,8 of 8,0 of 0,2 of 3,0 of 0,50,100,11,0,38,0,44,100,44,0,11,0,,
TOM NIINIMAKI,RENATO MOICANO,20/12/2014,Stoneface,-,L,W,Submission,2,3:30,3 Rnd (5-5-5),Osiris Maia,Rear Naked Choke,Featherweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,33 of 64,48 of 111,51,43,33 of 64,50 of 113,0 of 0,1 of 2,---,50,0,1,0,0,0:00,0:31,7 of 32,33 of 93,6 of 8,4 of 7,20 of 24,11 of 11,33 of 64,46 of 108,0 of 0,1 of 1,0 of 0,1 of 2,21,68,18,8,60,22,100,95,0,2,0,2,,
DARREN ELKINS,HACRAN DIAS,20/12/2014,The Damage,Barnabe,L,W,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Hallison Pontes 28 - 29. Tony Weeks 28 - 29. Guilherme Bravo 27 - 30.,Featherweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,37 of 97,30 of 52,38,57,77 of 140,65 of 93,1 of 6,5 of 6,16,83,1,0,0,0,2:43,7:53,25 of 80,21 of 42,8 of 13,3 of 4,4 of 4,6 of 6,19 of 71,19 of 39,14 of 20,3 of 3,4 of 6,8 of 10,67,70,21,10,10,20,51,63,37,10,10,26,,
LEANDRO ISSA,YUTA SASAKI,20/12/2014,Brodinho,Ulka,W,L,Submission,2,4:13,3 Rnd (5-5-5),Osiris Maia,Neck Crank From Back Control,Bantamweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,25 of 37,8 of 19,67,42,57 of 76,8 of 20,2 of 3,1 of 2,66,50,1,1,1,0,6:52,0:35,10 of 21,4 of 12,0 of 0,1 of 4,15 of 16,3 of 3,12 of 21,6 of 16,7 of 7,2 of 3,6 of 9,0 of 0,40,50,0,12,60,37,48,75,28,25,24,0,,
MARCIO ALEXANDRE JUNIOR,TIM MEANS,20/12/2014,Lyoto,The Dirty Bird,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Fernando Amaral 28 - 29. Tony Weeks 29 - 28. Lester Griffin 28 - 29.,Welterweight Bout,-,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,36 of 80,43 of 68,45,63,60 of 109,53 of 79,1 of 4,1 of 2,25,50,0,0,0,0,1:46,2:17,23 of 60,24 of 42,9 of 15,9 of 16,4 of 5,10 of 10,25 of 66,34 of 56,3 of 4,3 of 5,8 of 10,6 of 7,63,55,25,20,11,23,69,79,8,6,22,13,,
VITOR MIRANDA,JAKE COLLIER,20/12/2014,Lex Luthor,The Prototype,W,L,KO/TKO,1,4:59,3 Rnd (5-5-5),Fernando Yamasaki,Kick to Head At Distance,Middleweight Bout,perf,UFC Fight Night: Machida vs Dollaway,"Barueri, Sao Paulo, Brazil",0,0,14 of 21,15 of 35,66,42,19 of 26,22 of 44,0 of 0,2 of 3,---,66,0,1,0,0,0:01,3:04,6 of 12,11 of 30,4 of 5,4 of 5,4 of 4,0 of 0,12 of 19,13 of 33,2 of 2,2 of 2,0 of 0,0 of 0,42,73,28,26,28,0,85,86,14,13,0,0,,
JUNIOR DOS SANTOS,STIPE MIOCIC,13/12/2014,Cigano,-,W,L,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 47 - 48. Marcos Rosales 46 - 49. Glenn Trowbridge 46 - 49.,Heavyweight Bout,fight,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",1,0,123 of 303,89 of 193,40,46,140 of 322,102 of 206,1 of 1,1 of 18,100,5,0,0,0,0,1:19,3:00,78 of 202,77 of 180,45 of 101,8 of 9,0 of 0,4 of 4,111 of 288,70 of 159,7 of 9,18 of 31,5 of 6,1 of 3,63,86,36,8,0,4,90,78,5,20,4,1,,
RAFAEL DOS ANJOS,NATE DIAZ,13/12/2014,-,-,W,L,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 26 - 30. Marcos Rosales 26 - 30. Glenn Trowbridge 27 - 30.,Lightweight Bout,-,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",0,0,77 of 119,13 of 104,64,12,129 of 175,51 of 145,2 of 2,0 of 0,100,---,0,0,0,0,7:48,0:00,46 of 81,12 of 98,5 of 9,1 of 5,26 of 29,0 of 1,37 of 66,12 of 103,1 of 2,1 of 1,39 of 51,0 of 0,59,92,6,7,33,0,48,92,1,7,50,0,,
ALISTAIR OVEREEM,STEFAN STRUVE,13/12/2014,The Demolition Man,Skyscraper,W,L,KO/TKO,1,4:13,3 Rnd (5-5-5),John McCarthy,Punch to Head On Ground,Heavyweight Bout,-,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",0,0,17 of 25,2 of 5,68,40,24 of 32,4 of 7,1 of 2,0 of 0,50,---,0,0,0,0,2:40,0:00,12 of 18,0 of 3,5 of 6,2 of 2,0 of 1,0 of 0,0 of 2,2 of 4,3 of 3,0 of 1,14 of 20,0 of 0,70,0,29,100,0,0,0,100,17,0,82,0,,
GABRIEL GONZAGA,MATT MITRIONE,13/12/2014,Napao,-,L,W,KO/TKO,1,1:59,3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch,Heavyweight Bout,perf,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",0,1,6 of 12,12 of 18,50,66,6 of 12,13 of 19,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:07,4 of 9,12 of 18,2 of 3,0 of 0,0 of 0,0 of 0,6 of 12,7 of 13,0 of 0,0 of 0,0 of 0,5 of 5,66,100,33,0,0,0,100,58,0,0,0,41,,
CLAUDIA GADELHA,JOANNA JEDRZEJCZYK,13/12/2014,Claudinha,-,L,W,Decision - Split,3,5:00,3 Rnd (5-5-5),Al Guinee,Derek Cleary 28 - 29. Marcos Rosales 29 - 28. Chris Flores 28 - 29.,Women's Strawweight Bout,-,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",0,1,27 of 70,38 of 125,38,30,59 of 104,47 of 134,7 of 16,0 of 0,43,---,1,0,0,0,8:46,1:07,18 of 59,20 of 102,9 of 11,18 of 22,0 of 0,0 of 1,11 of 45,20 of 96,11 of 18,15 of 22,5 of 7,3 of 7,66,52,33,47,0,0,40,52,40,39,18,7,,
JOHN MORAGA,WILLIE GATES,13/12/2014,-,-,W,L,Submission,3,4:06,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Flyweight Bout,-,UFC on FOX: Dos Santos vs Miocic,"Phoenix, Arizona, USA",0,1,56 of 95,22 of 75,58,29,95 of 137,29 of 82,1 of 4,0 of 0,25,---,1,1,1,0,6:59,0:25,28 of 55,9 of 54,14 of 18,8 of 8,14 of 22,5 of 13,18 of 51,14 of 65,13 of 18,5 of 7,25 of 26,3 of 3,50,40,25,36,25,22,32,63,23,22,44,13,,
